Row ID,Order ID,Customer ID,Customer Name,City,Postal Code,Product ID,Product Name,Sales
1,CA-2017-152156,CG-12520,Claire Gute,Henderson,42420,FUR-BO-10001798,Bush Somerset Collection Bookcase,261.96
10,CA-2015-115812,BH-11710,Brosina Hoffman,Los Angeles,90032,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,114.9
100,CA-2017-158568,RB-19465,Rick Bensley,Chicago,60610,OFF-PA-10003256,Avery Personal Creations Heavyweight Cards,64.62
1000,CA-2016-162537,RD-19585,Rob Dowd,Henderson,42420,FUR-FU-10001918,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,33.11
1001,CA-2017-155488,FM-14290,Frank Merwin,Vancouver,98661,OFF-AR-10002956,Boston 16801 Nautilus Battery Pencil Sharpener,44.02
1002,CA-2016-124891,RH-19495,Rick Hansen,New York City,10024,TEC-AC-10003033,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,2309.65
1003,CA-2016-124891,RH-19495,Rick Hansen,New York City,10024,FUR-TA-10002903,"""Bevis Round Bullnose 29"""" High Table Top""",1090.78
1004,CA-2016-124891,RH-19495,Rick Hansen,New York City,10024,OFF-PA-10004621,Xerox 212,19.44
1005,CA-2016-126445,RA-19945,Ryan Akin,Murrieta,92563,OFF-ST-10000046,Fellowes Super Stor/Drawer Files,484.65
1006,CA-2016-111199,JK-15730,Joe Kamberova,Jacksonville,28540,OFF-PA-10001790,Xerox 1910,115.3
1007,CA-2016-105312,MT-17815,Meg Tillman,Scottsdale,85254,OFF-EN-10002600,Redi-Strip #10 Envelopes; 4 1/8 x 9 1/2,7.08
1008,CA-2016-105312,MT-17815,Meg Tillman,Scottsdale,85254,OFF-BI-10002049,UniKeep View Case Binders,4.4
1009,US-2018-106705,PO-18850,Patrick O'Brill,Burlington,52601,OFF-PA-10001509,"""Recycled Desk Saver Line """"While You Were Out"""" Book; 5 1/2"""" X 4""""""",44.75
101,CA-2017-158568,RB-19465,Rick Bensley,Chicago,60610,TEC-AC-10001767,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.98
1010,CA-2018-135034,AT-10735,Annie Thurman,Chicago,60653,TEC-PH-10003931,JBL Micro Wireless Portable Bluetooth Speaker,95.98
1011,CA-2015-158540,VG-21790,Vivek Gonzalez,San Diego,92037,FUR-FU-10001602,"""Eldon Delta Triangular Chair Mat; 52"""" x 58""""; Clear""",151.72
1012,CA-2018-118437,PF-19165,Philip Fox,Olympia,98502,FUR-FU-10004848,"""Howard Miller 13-3/4"""" Diameter Brushed Chrome Round Wall Clock""",155.25
1013,CA-2018-118437,PF-19165,Philip Fox,Olympia,98502,OFF-ST-10003722,Project Tote Personal File,14.03
1014,US-2016-126214,JS-15880,John Stevenson,Seattle,98103,FUR-TA-10003748,Bevis 36 x 72 Conference Tables,1618.37
1015,US-2016-126214,JS-15880,John Stevenson,Seattle,98103,TEC-AC-10003198,Enermax Acrylux Wireless Keyboard,99.6
1016,CA-2016-133025,MO-17800,Meg O'Connel,Los Angeles,90036,OFF-PA-10004100,Xerox 216,32.4
1017,CA-2016-108665,KM-16225,Kalyca Meade,New York City,10011,FUR-FU-10002191,G.E. Halogen Desk Lamp Bulbs,13.96
1018,CA-2016-108665,KM-16225,Kalyca Meade,New York City,10011,FUR-FU-10000965,"""Howard Miller 11-1/2"""" Diameter Ridgewood Wall Clock""",155.82
1019,CA-2016-108665,KM-16225,Kalyca Meade,New York City,10011,TEC-PH-10004188,OtterBox Commuter Series Case - Samsung Galaxy S4,124.95
102,CA-2017-158568,RB-19465,Rick Bensley,Chicago,60610,OFF-BI-10002609,Avery Hidden Tab Dividers for Binding Systems,1.79
1020,CA-2016-108665,KM-16225,Kalyca Meade,New York City,10011,OFF-ST-10001526,Iceberg Mobile Mega Data/Printer Cart,601.65
1021,CA-2016-124450,GT-14710,Greg Tran,Washington,20016,OFF-AR-10001166,Staples in misc. colors,22.74
1022,CA-2016-124450,GT-14710,Greg Tran,Washington,20016,FUR-CH-10000309,Global Comet Stacking Arm Chair,1267.53
1023,CA-2016-124450,GT-14710,Greg Tran,Washington,20016,TEC-MA-10004212,Cisco SPA525G2 5-Line IP Phone,1379.92
1024,CA-2016-167269,PB-19150,Philip Brown,Philadelphia,19134,OFF-EN-10003072,Peel & Seel Envelopes,6.21
1025,CA-2018-106964,HR-14770,Hallie Redmond,Los Angeles,90045,OFF-BI-10000320,GBC Plastic Binding Combs,11.81
1026,CA-2017-126529,DE-13255,Deanra Eno,Springfield,45503,OFF-PA-10001166,Xerox 2,15.55
1027,CA-2017-126529,DE-13255,Deanra Eno,Springfield,45503,OFF-PA-10003656,Xerox 1935,63.31
1028,CA-2017-126529,DE-13255,Deanra Eno,Springfield,45503,TEC-PH-10000148,Cyber Acoustics AC-202b Speech Recognition Stereo Headset,15.59
1029,CA-2015-163552,LA-16780,Laura Armstrong,Hackensack,7601,OFF-PA-10000474,Easy-staple paper,177.2
103,CA-2017-129903,GZ-14470,Gary Zandusky,Rochester,55901,OFF-PA-10004040,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92
1030,CA-2015-163552,LA-16780,Laura Armstrong,Hackensack,7601,TEC-PH-10003885,Cisco SPA508G,197.97
